"tx_date","address","symbol","entryPrice","token_amount_received","TP_price_1","TP_price_2","amount_to_sell","PNL","value_USD"
"2024-04-07T12:03:47.220Z","VCLVJeVmrA7Wf4NnFqPbeJr7R1qoH6CG75aeXS7DVUU","MCAW","0.000004122","242582.327704","0.000010305","0.000041220","169807.63","-37.52","0.62"
"2024-04-10T03:16:19.433Z","8AzMjNRwPeNtvohcS8WtG5LaG9RfmRhLm4gqbPQd6rii","Wellow","0.000092614","21595.031662","0.000231535","0.000926140","15116.5221634","-38.23","2.99"
"2024-04-09T23:33:40.570Z","GFcbpbgXeeCcbQSxiDXJxcpdpNpTkXLtNTYfAqGWN69D","ROLEKS","0.000044957","44486.943195","0.000112392","0.000449570","31140.86","-38.95","1.22"
"2024-04-07T17:11:38.113Z","6SKeubG7DiSn7ku2ZZn1HodoQ3LnMicWib42RKGH3DjK","ZECATS","0.000025101","39839.225828674","0.000062752","0.000251010","27887.46","-39.51","0.60"
"2024-04-08T15:32:59.400Z","B6VkZqaLXJkxH3z1sVUCsj26W42mMNrUtkHHo39xUSDA","LTC","0.018363297","108.912904729","0.045908243","0.183632970","76.24","-39.53","1.21"
"2024-04-08T21:42:27.599Z","7PzXVMYvt9Zxr1fXjAyW8ipdugKUzB59nKTNZD1ToMTP","TKAT","0.000000658","3037371.221402045","0.000001645","0.000006580","2126159.85","-40.52","1.19"
"10-04-2024 20:25:56","Hi7uwhQSJoC2cLE2zScoxKhGboN5f1DzgbFDx9XvAKRX","SHOBI","0.000000136","22092388.097875","0.000000340","0.000001360","15464671.6685125","-40.54","3.05"
"11-04-2024 02:24:43","FVYNig1bB7L2kgreHeoF5TeJKgQw4zn1CZSuPN6LQ42g","Geek","0.000044208","67860.570268","0.000110520","0.000442080","47502.3991876","-41.14","1.54"
"2024-04-07T15:19:06.652Z","BSviRmk43XyKRXAf7ZEzcgwAbQ399CYkcwbkBxpA4EYq","DOJA","0.000048364","20676.62390174","","","14473.64","-41.28",""
"2024-04-07T16:26:13.025Z","G2YKoNxQLAwhteTrWhFcTJtWLKKVAPxSvjxXtqjchFdh","MEOWTH","0.000022296","44850.141418","0.000055740","0.000222960","31395.1","-42.35","0.58"
"2024-04-08T22:10:18.078Z","Ckf8z3jeM1sJDnMz3krpw6K58BZVCD5aBpmJmaqNPxAg","RATHOLE","0.000002458","406862.882127537","0.000006145","0.000024580","284804.02","-44.07","0.56"
"11-04-2024 17:42:46","DbHuNmijFmK7F7peCSYZmF6yoi9Q3njBAdb3FCAkXNhS","BONKO","0.000013466","227440.199644","","0.000134660","159208.1397508","-45.70","0.50"
"11-04-2024 18:09:06","HGoAYv6kWU1aLADxdQU1PMpAMK8DJzvt79S3t1WppmzX","stinky","0.000007743","396572.735364279","0.000019357","0.000077430","277600.914754995","-45.90","1.66"
"11-04-2024 22:17:34","AT6gUbGxoiXATJdhvsGgW3TR8Ky9qTpeTFryZZyZC6wN","gos","0.000018426","164450.238582","0.000046065","0.000184260","115115.1670074","-46.10","1.63"
"2024-04-08T21:40:50.312Z","H94dHwwaRPhCAcSzhcW4ViY6PdmgMmvmEahvTUjHXAKn","TCAT","0.000009980","200397.596052","0.000024950","0.000099800","140278.32","-49.11","1.02"
"2024-04-08T08:21:45.541Z","CsP3CBf6EUGKpVjSNSwsr3v2h4ikrTxpV8G2euPhzcbF","AshBoden","0.000035228","56772.71650281","","","39740.9","-50.34",""
"2024-04-08T07:23:50.915Z","HqpzYVHbZaAioFJUiB3PTzmLrb69JzE9p6BJPecrFg2D","BTCAT","0.000000001","3103960992.2","","","2172772694.54","-50.58",""
"12-04-2024 07:06:42","4MwJtSuzKhmfTXdNtendHsrNKX2555iXwigwTK8SVyjQ","ROCKTMAN","0.000100022","30537.022961532","","0.001000221","21375.916073072","-53.76","1.42"
"2024-04-08T08:37:15.520Z","AZSkuvZvhw9AtFLLW2hWeRTbLy1PGdBFgx5mpXQg9cJT","COW","0.000003917","510641.649386312","","","357449.15","-54.42","0.0"
"2024-04-10T03:24:44.406Z","GyKRYgzt5J2hXWSY3VRJWMoBFRbmerpNmSRGd1BRMmAW","VANDOGE","0.000323654","6179.429794616","","","4325.600856231","-55.89",""
"2024-04-09T06:31:26.986Z","4fPYNqMEahehGk8fTRLuCpM7Xmpupi8vhJCNBvCKENvX","MILEDY","0.000624656","3201.764572165","","","2241.24","-55.95",""
"2024-04-08T20:17:48.930Z","8BqhogRNYYKVdMMr1MCx5v8JdLJsbUhH872Str9DkTAZ","york","0.000093471","21397.024382","","","14977.92","-56.52",""
"2024-04-09T05:35:42.905Z","3wprhhMbf2qsVLTvq22dBtYiJmzPA8evRYUcbWQfq5hj","‏‎","0.000074615","26804.213398","","","18762.95","-56.75",""
"2024-04-07T16:23:57.964Z","DwFhn2UQNSdYr7oDwrBp9bVfaLZs1BX2UUVaUgegf7m5","rastacat","0.000039647","25222.4343136","","","17655.7","-57.57","0.13"
"2024-04-10T04:05:42.326Z","DpAVbptcyeryEUP8zo8p3xftoTgsJNzjsvWnw9mpzhso","BOPE","0.000067267","22299.160268","","","15609.4121876","-58.71",""
"2024-04-08T12:21:20.442Z","7Qnuo3894Dt5jxaAaGVGnMPdHPGyc6HrnjdUdCP1NM23","TFD","0.000037769","52953.295115","","","37067.31","-59.57",""
"2024-04-10T02:19:43.114Z","8FBKJzJ2ay5mG32egi8wNZWPThq115X6hkStcDmWsUXZ","SKECH","0.017260303","115.872821","","","81.1109747","-59.7","2.07"
"2024-04-06T22:09:09.244Z","Hoik5MwfyRUu8s8A2Wi32iLeda2qcDsRRjNUSj58Tesv","CWIFP","0.000095101","10515.167507","","","7360.6172549","-60.05",""
"2024-04-08T12:29:24.162Z","4GCJwmLfuk1F6s5Z6TxeLoBYQocaDh9yNLFxPokDHV7r","VSCN","0.000082016","24385.590481","","","17069.91","-61.29",""
"2024-04-10T02:15:10.970Z","AZ7ABJtSeZoFHhNzWhMVREMgGKZVCN8nEZwQfyZdALSZ","omaba","0.000073747","27119.606694349","","","18983.724686044","-61.78",""
"10-04-2024 22:29:58","DnGaxnM4WcKLvevxAXjKnh58TsQ64BhkHQZe1ZEadra3","pep","0.000037214","80614.39448582","","","56430.076140074","-67.76",""
"2024-04-08T11:42:43.935Z","FomN1crdYumnYJHajh1r6uCKRfnuTCFtvwueiF7jcjdC","MEOW","0.000053902","37104.537364","","","25973.18","-69.52",""
"2024-04-10T01:45:06.557Z","3KBrU5Zjg2wYXQie55D553Mi37WLPvXC1NGnZF3DskbB","HIP","0.000029844","67014.648049","","","46910.25","-70.27",""
"2024-04-08T11:50:24.719Z","FomN1crdYumnYJHajh1r6uCKRfnuTCFtvwueiF7jcjdC","MEOW","0.000056263","35547.428957","","","24883.2","-70.8",""
"2024-04-07T14:05:14.566Z","BLF27NgaNYRJzqG58u539BiN7KFkKVoTdqmoT3DKg8w1","DWIF","0.000449643","3335.980647","","","2335.1864529","-72.01",""
"2024-04-06T21:27:04.503Z","CostcoTwT6LgV53hLhKpoauHKaoahNxnFAYEeukAinoB","CHURRO","0.000168980","5917.854837162","","","4142.5","-72.77",""
