timestamp,description
"07-04-2024 14:48:57","update_account_PNL() starting now."
"07-04-2024 14:49:55","update_account_PNL() starting now."
"07-04-2024 14:50:55","update_account_PNL() starting now."
"07-04-2024 14:51:54","update_account_PNL() starting now."
"07-04-2024 14:52:55","update_account_PNL() starting now."
"07-04-2024 14:53:55","update_account_PNL() starting now."
"07-04-2024 14:54:54","update_account_PNL() starting now."
"07-04-2024 14:55:21","buy_all_from_filtered() starting now."
"07-04-2024 14:55:54","update_account_PNL() starting now."
"07-04-2024 14:56:41","buy_all_from_filtered() starting now."
"07-04-2024 14:56:54","update_account_PNL() starting now."
"07-04-2024 14:57:57","update_account_PNL() starting now."
07-04-24 14:58:24,dex_data_BOT_v2.py called
"07-04-2024 14:59:00","update_account_PNL() starting now."
"07-04-2024 15:00:03","update_account_PNL() starting now."
"07-04-2024 15:01:05","update_account_PNL() starting now."
"07-04-2024 15:02:07","update_account_PNL() starting now."
"07-04-2024 15:02:51","buy_all_from_filtered() starting now."
"07-04-2024 15:03:05","update_account_PNL() starting now."
"07-04-2024 15:04:07","update_account_PNL() starting now."
"07-04-2024 15:05:10","update_account_PNL() starting now."
"07-04-2024 15:06:13","update_account_PNL() starting now."
"07-04-2024 15:07:20","update_account_PNL() starting now."
"07-04-2024 15:08:27","update_account_PNL() starting now."
"07-04-2024 15:09:33","update_account_PNL() starting now."
"07-04-2024 15:10:41","update_account_PNL() starting now."
"07-04-2024 15:11:48","update_account_PNL() starting now."
"07-04-2024 15:11:58","buy_all_from_filtered() starting now."
"07-04-2024 15:12:55","update_account_PNL() starting now."
"07-04-2024 15:14:02","update_account_PNL() starting now."
"07-04-2024 15:15:08","update_account_PNL() starting now."
"07-04-2024 15:16:16","update_account_PNL() starting now."
"07-04-2024 15:16:24","buy_all_from_filtered() starting now."
"07-04-2024 15:17:22","update_account_PNL() starting now."
"07-04-2024 15:18:29","update_account_PNL() starting now."
"07-04-2024 15:18:58","buy_all_from_filtered() starting now."
"07-04-2024 15:19:14","buy_all_from_filtered() starting now."
"07-04-2024 15:19:36","update_account_PNL() starting now."
"07-04-2024 15:19:48","buy_all_from_filtered() starting now."
"07-04-2024 15:20:42","buy_all_from_filtered() starting now."
"07-04-2024 15:20:43","update_account_PNL() starting now."
"07-04-2024 15:21:51","update_account_PNL() starting now."
"07-04-2024 15:22:15","update_account_PNL() starting now."
"07-04-2024 15:26:21","update_account_PNL() starting now."
"07-04-2024 15:27:29","update_account_PNL() starting now."
"07-04-2024 15:28:03","buy_all_from_filtered() starting now."
"07-04-2024 15:31:13","update_account_PNL() starting now."
"07-04-2024 15:32:24","update_account_PNL() starting now."
"07-04-2024 15:33:30","update_account_PNL() starting now."
"07-04-2024 15:34:41","update_account_PNL() starting now."
"07-04-2024 15:35:30","buy_all_from_filtered() starting now."
"07-04-2024 15:35:47","buy_all_from_filtered() starting now."
"07-04-2024 15:35:51","update_account_PNL() starting now."
"07-04-2024 15:37:02","update_account_PNL() starting now."
"07-04-2024 15:37:21","update_account_PNL() starting now."
"07-04-2024 15:38:30","update_account_PNL() starting now."
"07-04-2024 15:39:40","update_account_PNL() starting now."
"07-04-2024 15:40:51","update_account_PNL() starting now."
"07-04-2024 15:40:54","buy_all_from_filtered() starting now."
"07-04-2024 15:42:00","update_account_PNL() starting now."
"07-04-2024 15:43:10","update_account_PNL() starting now."
07-04-24 15:43:44,dex_data_BOT_v2.py called
"07-04-2024 15:44:21","update_account_PNL() starting now."
